Category,Message
spam,you have won a guaranteed 32000 award or maybe even 1000 cash to claim ur award call free on 0800  18 its a legitimat efreefone number wat do u think
ham,lemme know when i can swing by and pick up im free basically any time after 1 all this semester
ham,beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it good night
spam,your next amazing xxx picsfree1 video will be sent to you enjoy if one vid is not enough for 2day text back the keyword picsfree1 to get the next video
ham,good afternoon my love it was good to see your words on ym and get your tm very smart move my slave  smiles  i drink my coffee and await you
ham,ok lor i ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat
ham,in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the intha ponnungale ipaditan
ham,kdo it at evening daurgent
ham,heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams
ham,nah wednesday when should i bring the mini cheetos bag over
ham,do u want 2 meet up 2morro
spam,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 150 sptyrone
ham,if you want to mapquest it or something look up usf dogwood drive
ham,yup having my lunch buffet now u eat already
ham,we walked from my moms right on stagwood pass right on winterstone left on victors hill address is ltgt
ham,i have lost 10 kilos as of today
ham,dunno dats wat he told me ok lor
ham,think i might have to give it a miss am teaching til twelve then have lecture at two damn this working thing
ham,come aftr  ltdecimalgt now i m cleaning the house
ham,when people see my msgs they think iam addicted to msging they are wrong bcoz they dont know that iam addicted to my sweet friends bslvyl
ham,networking technical support associate
ham,haha get used to driving to usf man i know a lot of stoners
ham,be happy there i will come after noon
ham,y  wan to go there c doctor
ham,can i meet  at 5 as 4 where depends on where  wan 2 in lor
spam,interflora  its not too late to order interflora flowers for christmas call 0800 505060 to place your order before midnight tomorrow
ham,have a good evening ttyl
spam,thanks for your ringtone order reference number x49your mobile will be charged 450 should your tone not arrive please call customer services 09065989182
ham,nobody can decide where to eat and dad wants chinese
spam,todays voda numbers ending with 7634 are selected to receive a 350 reward if you have a match please call 08712300220 quoting claim code 7684 standard rates apply
ham,from here after the performance award is calculated every two monthnot for current one month period
spam,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 sort time 09099726429 janinexx calls1minmobsmorelkpobox177hp51fl
spam,romantic paris 2 nights 2 flights from 79 book now 4 next year call 08704439680tscs apply
ham,no need lar i go engin cos my sis at arts today
ham,painful words i thought being happy was the most toughest thing on earth but
spam,urgent important information for o2 user today is your lucky day 2 find out why log onto httpwwwurawinnercom there is a fantastic surprise awaiting for you
spam,twinks bears scallies skins and jocks are calling now dont miss the weekends fun call 08712466669 at 10pmin 2 stop texts call 08712460324nat rate
ham,lol  i knew that  i saw him in the dollar store
spam,panasonic  bluetoothhdset free nokia free motorola free  doublemins  doubletxt on orange contract call mobileupd8 on 08000839402 or call 2optout
ham,anytime
ham,you can never do nothing
ham,kkhow is your sister kids
ham,ok is any problem to u frm him wats matter
spam,hard live 121 chat just 60pmin choose your girl and connect live call 09094646899 now cheap chat uks biggest live service vu bcm1896wc1n3xx
ham,yay finally lol i missed our cinema trip last week 
ham,hey chief can you give me a bell when you get this need to talk to you about this royal visit on the 1st june 
ham,genius whats up how your brother pls send his number to my skype
ham,that would be great well be at the guild could meet on bristol road or somewhere  will get in touch over weekend our plans take flight have a good week
ham,ok
ham,you know there is i shall speak to you in  ltgt  minutes then
ham,thats cool i am a gentleman and will treat you with dignity and respect
ham,the  ltgt g that i saw a few days ago the guy wants sell wifi only for  ltgt  and with 3g for  ltgt  thats why i blanked him
ham,sir i need axis bank account no and bank address
ham,honeybee said im d sweetest in d world god laughed amp said waitu havnt met d person reading this msg moral even god can crack jokes gmgngegn
ham,forgot it takes me 3 years to shower sorry where you atyour phone dead yet
ham,haha hope  can hear the receipt sound gd luck
ham,you please give us connection today itself before  ltdecimalgt  or refund the bill
ham,gosh that  what a pain spose i better come then
ham,im in class did you get my text
ham,hey you still want to go for yogasana coz if we end at cine then can go bathe and hav the steam bath
ham,i dont know jack shit about anything or id sayask something helpful but if you want you can pretend that i did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
ham,dude while were makin those weirdy brownies my sister made awesome cookies i took pics
ham,i cant speak bcaz mobile have problem i can listen you but you cannt listen my voice so i calls you later
ham,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool
ham,all these nice new shirts and the only thing i can wear them to is nudist themed  you in mu
spam,08714712388 between 10am7pm cost 10p
ham,just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise
ham,im outside islands head towards hard rock and youll run into me
ham,just chill for another 6hrs if you could sleep the pain is not a surgical emergency so see how it unfolds okay
ham,thanx 4 the time weve spent 2geva its bin mint ur my baby and all i want is uxxxx
ham,carlos is down but i have to pick it up from him so ill swing by usf in a little bit
ham,x course it 2yrs just so her messages on messenger lik you r sending me
ham,you call him and tell now infront of them call him now
ham,now im going out 4 dinner soon
ham,amazing  if you rearrange these letters it gives the same meaning dormitory  dirty room astronomer  moon starer the eyes  they see election results  lies lets recount motherinlaw  woman hitler eleven plus two twelve plus one its amazing 
ham,k i will sent it again
ham,what class of  ltgt  reunion
spam,u are subscribed to the best mobile content service in the uk for 3 per 10 days until you send stop to 82324 helpline 08706091795
ham,dai i downloaded but there is only exe file which i can only run that exe after installing
ham,a boy was late 2 home his father power of frndship
ham,i have had two more letters from  i will copy them for you cos one has a message for you speak soon
ham,nt joking seriously i told
ham,yar lor how u noe u used dat route too
spam,free camera phones with linerental from 449month with 750 cross ntwk mins 12 price txt bundle deals also avble call 08001950382 or call2optoutj mf
ham,i absolutely love south park i only recently started watching the office
spam,sms services for your inclusive text credits pls gotto wwwcomuknet login 3qxj9 unsubscribe with stop no extra charge help 08702840625 comuk220cm2 9ae
ham,i am at a party with alex nichols
ham,wat time u finish ur lect today
ham,watching cartoon listening music amp at eve had to go temple amp church what about u
ham,first has she gained more than  ltgt kg since she took in second has she done the blood sugar tests if she has and its ok and her blood pressure is within normal limits then no worries
spam,spook up your mob with a halloween collection of a logo  pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logopic 
ham,yes i posted a couple of pics on fb theres still snow outside too im just waking up 
ham,there are many company tell me the language
ham,im done just studyn in library
ham,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning  
ham,was gr8 to see that message so when r u leaving congrats dear what school and wat r ur plans
ham,lol or i could just starve and lose a pound by the end of the day
ham,thank you princess i want to see your nice juicy booty
ham,if i not meeting  all rite then ill go home lor if  dun feel like comin its ok
spam,youve won tkts to the euro2004 cup final or 800 cash to collect call 09058099801 b4190604 pobox 7876150ppm
ham,it took mr owl 3 licks
spam,congratulations ur awarded either 500 of cd gift vouchers  free entry 2 our 100 weekly draw txt music to 87066 tncs wwwldewcom 1 win150ppmx3age16
ham,velly good yes please
ham,wn u r hurt by d prsn who s close 2 u do fight wit dem coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation gud eveb
ham,pls accept me for one day or am begging you change the number
ham,oh did you charge camera
ham,probably gonna be here for a while see you later tonight lt
ham,tomarrow final hearing on my laptop case so i cant
ham,thats one of the issues but california is okay no snow so its manageable
spam,dear voucher holder to claim this weeks offer at you pc please go to httpwwwetlpcoukexpressoffer tscs apply to stop texts txt stop to 80062
spam,gr8 poly tones 4 all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzedcouk pobox365o4w45wq 300p
ham,cool text me when youre ready
spam,freemsg todays the day if you are ready im horny  live in your town i love sex fun  games netcollex ltd 08700621170150p per msg reply stop to end
spam,you have 1 new message please call 08718738034
spam,todays voda numbers ending 1225 are selected to receive a 50award if you have a match please call 08712300220 quoting claim code 3100 standard rates app 
ham,your bill at 3 is 3365 so thats not bad
ham,went to ganesh dress shop
ham,your brother is a genius
ham,really dun bluff me leh u sleep early too nite
ham,i anything lor
ham,ever green quote ever told by jerry in cartoon a person who irritates u always is the one who loves u vry much but fails to express it   gud nyt
ham,awww dat is sweet we can think of something to do he he have a nice time tonight ill probably txt u later cos im lonely  xxx
ham,we left already we at orchard now
ham,also that chat was awesome but dont make it regular unless you can see her in person
spam,1st wk free gr8 tones str8 2 u each wk txt nokia on to 8007 for classic nokia tones or hit on to 8007 for polys nokia150p poly200p 16
ham,sorry you never hear unless you book it one was kinda a jokethet were really looking for skinny white girls the other was one lineyou can only do so much on camera with that something like that theyre casting on the look
ham,your account has been refilled successfully by inr  ltdecimalgt  your keralacircle prepaid account balance is rs  ltdecimalgt  your transaction id is kr ltgt 
ham,ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear
ham,yetunde im sorry but moji and i seem too busy to be able to go shopping can you just please find some other way to get what you wanted us to get please forgive me you can reply free via yahoo messenger
spam,free msg get gnarls barkleys crazy ringtone totally free just reply go to this message right now
ham,hey im bored so im thinking of u so wat r u doing
ham,where to get those
spam,3 free tarot texts find out about your love life now try 3 for free text chance to 85555 16 only after 3 free msgs 150 each
spam,lookatme thanks for your purchase of a video clip from lookatme youve been charged 35p think you can do better why not send a video in a mmsto 32323
ham,i will see in half an hour
ham,yeah jays sort of a fucking retard
ham,your board is working fine the issue of overheating is also reslove but still software inst is pending i will come around 8o clock
ham,wish u many many returns of the day happy birthday vikky
ham,dad wanted to talk about the apartment so i got a late start omw now
ham,why de you looking good only
spam,u have won a nokia 6230 plus a free digital camera this is what u get when u win our free auction to take part send nokia to 83383 now pobox11414tcrw1 16
ham,oh fuck juswoke up in a bed on a boatin the docks slept wid 25 year old spinout giv u da gossip l8r xxx
ham,how u doin baby girl  hope u are okay every time i call ure phone is off i miss u get in touch
ham,ok there may be a free gym about
spam,send a logo 2 ur lover  2 names joined by a heart txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo pobox36504w45wq txtno 4 no ads 150p
ham,hey for me there is no leave on friday wait i will ask my superior and tell you
ham,yes i have so thats why u texted pshewmissing you so much
ham,sorry ill call later
ham,bring home some wendy d
ham,hey theres veggie pizza 
spam,freeringtone reply real or poly eg real1 1 pushbutton 2 dontcha 3 babygoodbye 4 golddigger 5 webeburnin 1st tone free and 6 more when u join for 3wk
ham,heygreat dealfarm tour 9am to 5pm 95pax 50 deposit by 16 may
ham,i walked an hour 2 c u doesnt that show i care y wont u believe im serious
ham,new theory argument wins d situation but loses the person so dont argue with ur friends just    kick them amp say im always correct
ham,what should i eat fo lunch senor
ham,of cos can lar im not so ba dao ok 1 pm lor y u never ask where we go ah i said u would ask on fri but he said u will ask today
ham,what you thinked about me first time you saw me in class
ham,if i let you do this i want you in the house by 8am
ham,university of southern california
ham,kinda first one gets in at twelve aah speak tomo
ham,sure thing big man i have hockey elections at 6 shouldnt go on longer than an hour though
ham,ard 6 like dat lor
ham,never y lei i v lazy got wat dat day  send me da url cant work one
ham,wnevr i wana fal in luv vth my books my bed fals in luv vth me  yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb
spam,private your 2004 account statement for 0784987 shows 786 unredeemed bonus points to claim call 08719180219 identifier code 45239 expires 060505
ham,hi neva worry bout da truth coz the truth will lead me 2 ur heart its the least a unique person like u deserve sleep tight or morning
ham,am not interested to do like that
ham,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people ive ever met why would i think a picture of your room would hurt you make you feel violated
ham,ah poor babyhope urfeeling bettersn luv probthat overdose of work hey go careful spk 2 u sn lots of lovejen xxx
ham,thank you baby i cant wait to taste the real thing
ham,i did one slice and one breadstick lol
ham,good afternoon babe how goes that day  any job prospects yet  i miss you my love  sighs  
spam,you have won as a valued vodafone customer our computer has picked you to win a 150 prize to collect is easy just call 09061743386
spam,18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to 83222
ham,yupz ive oredi booked slots 4 my weekends liao 
spam,hi ya babe x u 4goten bout me scammers getting smartthough this is a regular vodafone no if you respond you get further prem rate msgsubscription other nos used also beware
ham,anyway seriously hit me up when youre back because otherwise i have to light up with armand and he always has shit andor is vomiting
ham,is avatar supposed to have subtoitles
ham,i want to see your pretty pussy
ham,seriously tell her those exact words right now
ham,how are you holding up
ham,evening  v good if somewhat event laden will fill you in dont you worry  head  ok but throat  wrecked see you at six then
ham,excellent ill see what rileys plans are
ham,nah cant help you there ive never had an iphone
ham,nope c  then
ham,you do what all you like
ham,single line with a big meaning miss anything 4 ur best life but
ham,lmaonice 1
spam,free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800 psp or 250 cash every wktxt great to 80878 httpwwwgr8prizescom 08715705022
ham,so anyways you can just go to your gym or whatever my love smiles i hope your ok and having a good day babe  i miss you so much already
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
spam,your chance to be on a reality fantasy show call now  08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national  rate call
ham,not much just some textin how bout you
ham,yo howz u girls never rang after india l
ham,hi mate its rv did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roadsrvx
spam,our mobile number has won 5000 to claim calls us back or ring the claims hot line on 09050005321
ham,ok enjoy  r u there in home
spam,winner as a valued network customer you hvae been selected to receive a 900 reward to collect call 09061701444 valid 24 hours only acl03530150pm
ham,i keep ten rs in my shelf buy two egg
ham,u 2
ham,can you say what happen
ham,is that on the telly no its brdget jones
ham,what i told before i tell stupid hear after i wont tell anything to you you dad called to my brother and spoken not with me
ham,no it was cancelled yeah baby well that sounds important so i understand my darlin give me a ring later on this fone love kate x
ham,if e timing can then i go w u lor
ham,oh oh wasted den muz chiong on sat n sun liao
spam,ringtoneking 84484
spam,you will be receiving this weeks triple echo ringtone shortly enjoy it
ham,can you do a mag meeting this avo at some point
spam,you have 1 new voicemail please call 08719181513
ham,dad says hurry the hell up
ham,mum say we wan to go then go then she can shun bian watch da glass exhibition 
ham,i dont have i shall buy one dear
ham,hey i will be late im at amk need to drink tea or coffee
ham,you should get more chicken broth if you want ramen unless theres some i dont know about
spam,cmon babe make me horny turn me on txt me your fantasy now babe  im hot sticky and need you now all replies cost 150 2 cancel send stop
ham,im gonna miss u so much
ham,normally i use to drink more water daily
ham,or i guess  ltgt  min
ham,im reaching in another 2 stops
ham,haha dont be angry with yourself take it as a practice for the real thing  
ham,lol well dont do it without me we could have a big sale together
ham,you were supposed to wake me up gt
ham,infact happy new year how are you where are you when are we seeing
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589
ham,very hurting n meaningful lines ever i compromised everything for my love
ham,friendship poem dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear gud ni8
ham,i wish u were here i feel so alone
ham,so when do you wanna gym harri
ham,aight sounds good when do you want me to come down
ham, you gonna ring this weekend or wot
ham,that is wondarfull song
ham,yeah theres barely enough room for the two of us x has too many fucking shoes sorry man see you later
ham,26th of july
ham,today is accept dayu accept me as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
ham,short but cute   be a good person 
ham,i dont understand your message
ham,of course i guess gods just got me on hold right now
ham,not yet chikkuwat abt u
ham,height of recycling read twice people spend time for earning money and the same money is spent for spending time good morning keep smiling
ham,did u find out what time the bus is at coz i need to sort some stuff out
ham,actually my mobile is full of msg and i m doing a work online where i need to send them  ltgt  sent msg i wil explain u later
spam,free unlimited hardcore porn direct 2 your mobile txt porn to 69200  get free access for 24 hrs then chrgd50p per day txt stop 2exit this msg is free
spam,shop till u drop is it you either 10k 5k 500 cash or 100 travel voucher call now 09064011000 ntt po box cr01327bt fixedline cost 150ppm mobile vary
ham,he also knows about lunch menu only da  i know
ham,just curious because my cuz asked what i was up to
ham,but thats on ebay it might be less elsewhere
ham,double eviction this week  spiral and michael and good riddance to them
ham,im watching lotr w my sis dis aft so u wan 2 meet me 4 dinner at nite a not
ham,thank you and by the way i just lost
ham,i wasnt well babe i have swollen glands at my throat  what did you end up doing 
ham,btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
spam,call 09090900040  listen to extreme dirty live chat going on in the office right now total privacy no one knows your sic listening 60p min 247mp 0870753331018
ham,k can i pick up another 8th when youre done
spam,get your garden ready for summer with a free selection of summer bulbs and seeds worth 3350 only with the scotsman this saturday to stop go2 notxtcouk
ham,ok thanx take care then
ham,do you know when dad will be back
ham,i couldnt say no as he is a dying man and i feel sad for him so i will go and i just wanted you to know i would probably be gone late into your night
ham,if you hear a loud scream in about ltgt minutes its cause my gyno will be shoving things up me that dont belong 
spam,get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to 84199 optout txt eng stop box39822 w111wx 150
ham,not course only maths one day one chapter with in one month we can finish
ham,somebody should go to andros and steal ice
spam,free ring tone just text polys to 87131 then every week get a new tone 0870737910216yrs only 150wk
ham,well i wasnt available as i washob nobbing with last night so they had to ask nickey platt instead of me
ham,ive reached home n i bathe liao u can call me now
spam,hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,cuz ibored and don wanna study
ham,dai  ltgt  naal eruku
ham,me also da i feel yesterday night  wait til 2day night dear
ham,please give it 2  or i will pick it up on tuesday evening about 8 if that is ok
ham,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge
ham,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae so lyf is nt yet ovr chikkuali vargu lyfu meow meowd
ham,i shall book chez jules for half eight if thats ok with you
ham,if you ask her or she say any please message
spam,u can win 100 of music gift vouchers every week starting now txt the word draw to 87066 tscs wwwldewcom skillgame1winaweek age16150ppermesssubscription
ham,eh u remember how 2 spell his name yes i did he v naughty make until i v wet
spam,natalja 25f is inviting you to be her friend reply yes440 or no440 see her wwwsmsacunat27081980 stop send stop frnd to 62468
ham,do well all will for little time thing of good times ahead
ham,did you try making another butt
ham,purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng musthu
ham,this pain couldnt have come at a worse time
ham,im not driving raining then ill get caught at e mrt station lor
ham,u r too much close to my heart if u go away i will be shattered plz stay with me
spam,freemsgfav xmas tonesreply real
ham,kkyesterday i was in cbe 
ham,don knowthis week im going to tirunelvai da
ham,just sent you an email  to an address with incomm in it is that right
spam,would you like to see my xxx pics they are so hot they were nearly banned in the uk
ham,wot about on wed nite i am 3 then but only til 9
spam,hi its lucy hubby at meetins all day fri  i will b alone at hotel u fancy cumin over pls leave msg 2day 09099726395 lucy x calls1minmobsmorelkpobox177hp51fl
ham,the whole car appreciated the last two dad and are having a map reading semi argument but apart from that things are going ok p
ham,she said do u mind if i go into the bedroom for a minute   ok i sed in a sexy mood she came out 5 minuts latr wid a caken my wife
ham,dude whats up how teresa hope you have been okay when i didnt hear from these people i called them and they had received the package since dec  ltgt  just thot yould like to know do have a fantastic year and all the best with your reading plus if you can really really bam first aid for usmle then your work is done
ham,wow didnt think it was that common i take it all back ur not a freak unless u chop it off
ham,you do your studies alone without anyones help if you cant no need to study
ham,oh ic i thought you meant mary jane
ham,i am taking half day leave bec i am not well
ham,have a great trip to india and bring the light to everyone not just with the project but with everyone that is lucky to see you smile bye abiola
ham,is there any movie theatre i can go to and watch unlimited movies and just pay once
ham,are you in town this is v important
ham,okay we wait ah
ham,no plm i will come da on the way
ham,cant take any major roles in community outreach you rock mel
ham,o was not into fps then
ham,pls go there today  ltgt  i dont want any excuses
ham,gr8 so how do you handle the victoria island traffic plus whens the album due
ham,alright took the morphine back in yo
ham,hey loverboy i love you  i had to tell  i look at your picture and ache to feel you between my legs  fuck i want you  i need you  i crave you 
ham,she was supposed to be but couldnt make it shes still in town though
ham,kkthis month kotees birthday know
ham,still i have not checked it da  
spam,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 tscs wwwtextpodnet custcare 08712405020
spam,babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo4msgs
ham,im also came to room
spam,urgent this is our 2nd attempt to contact u your 900 prize from yesterday is still awaiting collection to claim call now 09061702893 acl03530150pm
ham,ok ive sent u da latest version of da project
spam,forwarded from 21870000hi  this is your mailbox messaging sms alert you have 4 messages you have 21 matches please call back on 09056242159 to retrieve your messages and matches
ham,nobody names their penis a girls name this story doesnt add up at all
ham,er yeah i will b there at 1526 sorry just tell me which pubcafe to sit in and come wen u can
ham,i am going to bed now prin
spam,it to 80488 your 500 free text messages are valid until 31 december 2005
ham,did you show him and wot did he say or could u not c him 4 dust
ham,nan sonathaya soladha why boss
ham,sorry ill call later
ham,yar i wanted 2 scold u yest but late already i where got zhong se qing you if u ask me b4 he ask me then ill go out w u all lor n u still can act so real
ham,oh my god im almost home
ham,hey you gave them your photo when you registered for driving ah tmr wanna meet at yck 
ham,just sing hu i think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through even things like choosing a phone plan require guidance when in doubt ask especially girls
ham,ill be at mu in like  ltgt  seconds
ham,you sure your neighbors didnt pick it up
spam,congrats 2 mobile 3g videophones r yours call 09061744553 now videochat wid ur mates play java games dload polyh music noline rentl bx420 ip4 5we 150pm
spam,freemsg fancy a flirt reply date now  join the uks fastest growing mobile dating service msgs rcvd just 25p to optout txt stop to 83021 reply date now
ham,leave it wif me lar  wan to carry meh so heavy is da num 98321561 familiar to 
ham,thats alrite girl u know gail is neva wrongtake care sweet and dont worryc u l8tr hunlove yaxxx
ham,or u ask they all if next sat can a not if all of them can make it then im ok lor
ham,id onluy matters when getting on from offcampus
ham,dear where you call me
ham,deep sigh  i miss you   i am really surprised you havent gone to the net cafe yet to get to me  dont you miss me
ham,when did dad get back
ham,then you are eldest know
ham,may b approve panalambut it should have more posts
spam,private your 2003 account statement for shows 800 unredeemed s i m points call 08719899230 identifier code 41685 expires 071104
ham,i have a rather prominent bite mark on my right cheek
ham,speaking of does he have any cash yet
ham,what are youdoing later sar xxx
spam,money you r a lucky winner  2 claim your prize text money 2 88600 over 1million to give away  ppt150x3normal text rate box403 w1t1jy
ham,anything lor is she coming
ham,uncle abbey happy new year abiola
ham,sure whenever you show the fuck up gt
spam,win the newest harry potter and the order of the phoenix book 5 reply harry answer 5 questions  chance to be the first among readers
spam,wanna have a laugh try chitchat on your mobile now logon by txting the word chat and send it to no 8883 cm po box 4217 london w1a 6zf 16 118pmsg rcvd
ham,yeah we can probably swing by once my roommate finishes up with his girl
ham,jay says hell put in  ltgt
ham,im sorry ive joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week
spam,moby pub quizwin a 100 high street prize if u know who the new duchess of cornwall will be txt her first name to 82277unsub stop 150 008704050406 sp arrow
ham,what is your account number
ham,can you talk with me
ham,where is that one day training
ham,for the first time in the history need comfort and luxury are sold at same price in india onionrs ltgt  petrolrs ltgt  beerrs ltgt  shesil  ltgt
ham,i didnt get ur full msgsometext is missing send it again
ham,detroit the home of snow enjoy it
ham,solve d case  a man was found murdered on  ltdecimalgt  ltgt  afternoon 1his wife called police 2police questioned everyone 3wife siri was sleeping when the murder took place 4cook i was cooking 5gardener i was picking vegetables 6housemaid i went 2 d post office 7children we went 2 play 8neighbour we went 2 a marriage police arrested d murderer immediately whos it reply with reason if u r brilliant
ham,you still at the game
ham,now only i reached home   i am very tired now  i will come tomorro
ham,babe i need your advice
ham,just do what ever is easier for you
ham,good morning my love  i go to sleep now and wish you a great day full of feeling better and opportunity  you are my last thought babe i love you kiss
ham,hey no i ad a crap nite was borin without ya 2 boggy with me u boring biatch thanx but u wait til nxt time il ave ya 
ham,i thank you so much for all you do with selflessness i love you plenty
ham,im working technical support voice processnetworking field
spam,ur going 2 bahamas callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of2000 cash 18only to opt out txt x to 07786200117
ham,sorry vikky im watching olave mandara movie kano in trishul theatre wit my frnds
ham,i can but it will tell quite long cos i havent finish my film yet
ham,customer place i will call you
ham,o guess they both got screwd
ham,u really pig leh sleep so much my dad wake me up at 10 smth 2 eat lunch today
ham,thank you do you generally date the brothas
ham, log off 4 wat its sdryb8i
ham,ok omw now you at castor
ham,wait do you know if wesleys in town i bet she does hella drugs
ham,hey iouri gave me your number im wylie ryans friend
ham,no dude its not fakemy frnds got money thts y im reffering uif u member wit my mail link u vl be credited  ltgt rs and il be getiing  ltgt rsi can draw my acc wen it is  ltgt rs
ham,hey they r not watching movie tonight so ill prob b home early
ham,its ok chikku and its my 1 of favourite song
ham,hmm dunno leh mayb a bag 4 goigng out dat is not too small or jus anything except perfume smth dat i can keep
ham,are your freezing  are you home yet  will you remember to kiss your mom in the morning do you love me  do you think of me  are you missing me yet 
ham,doing project w frens lor 
ham,thanks  and  or bomb and date as my phone wanted to say 
ham,happy new year my no1 man
ham,best msg its hard to be with a person when u know that one more step foward will make u fall in love amp one step back can ruin ur friendship good night 
ham,there bold 2  ltgt  is that yours
ham,how come u got nothing to do
ham,aight yo dats straight dogg
ham,nah i dont think he goes to usf he lives around here though
ham,one of the joys in lifeis waking up each daywith thoughts that somewheresomeone cares enough tosend a warm morning greeting 
spam,private your 2003 account statement for 07815296484 shows 800 unredeemed sim points call 08718738001 identifier code 41782 expires 181104 
ham,neft transaction with reference number  ltgt  for rs ltdecimalgt  has been credited to the beneficiary account on  ltgt  at  lttimegt  ltgt
ham,pls dont forget to study
ham,haha i think i did too
ham,no dear i was sleeping p
spam,free msgwe billed your mobile number by mistake from shortcode 83332please call 08081263000 to have charges refundedthis call will be free from a bt landline
ham,my computer just fried the only essential part we dont keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  ltgt 7
spam,someone u know has asked our dating service 2 contact you cant guess who call 09058091854 now all will be revealed po box385 m6 6wu
spam,for ur chance to win a 250 wkly shopping spree txt shop to 80878 tscs wwwtxt2shopcom custcare 08715705022 1x150pwk
ham,den only weekdays got special price haiz cant eat liao cut nails oso muz wait until i finish drivin wat lunch still muz eat wat 
spam,get a brand new mobile phone by being an agent of the mob plus loads more goodies for more info just text mat to 87021
ham,thanks da thangam i feel very very happy dear i also miss you da
ham,im at home n ready
ham,si si i think ill go make those oreo truffles
ham,aah a cuddle would be lush id need lots of tea and soup before any kind of fumbling
ham,jordan got voted out last nite
ham,am only searching for good dual sim mobile pa
ham,you see the requirements please
ham,easy ahsen got selected means its good
ham,lets use it next week princess 
ham,eek thats a lot of time especially since american pie is like 8 minutes long i cant stop singing it
ham,no problem we will be spending a lot of quality time together
spam,500 new mobiles from 2004 must go txt nokia to no 89545  collect yours todayfrom only 1 www4tcbiz 2optout 08718726270150gbpmtmsg18
spam,pdatenow  double mins and 1000 txts on orange tariffs latest motorola sonyericsson  nokia  bluetooth free call mobileupd8 on 08000839402 or call2optoutyhl
ham,sorry ill call later
ham,cant think of anyone with  spare room off  top of my head
ham,yup but not studying surfing lor im in e lazy mode today
ham, 
ham,ah well that confuses things doesnt it
ham,i got lousy sleep i kept waking up every 2 hours to see if my cat wanted to come in i worry about him when its cold 
ham,i keep seeing weird shit and bein all woah then realising its actually reasonable and im all oh
ham,i hope your alright babe i worry that you might have felt a bit desparate when you learned the job was a fake  i am here waiting when you come back my love
spam,get ur 1st ringtone free now reply to this msg with tone gr8 top 20 tones to your phone every week just 150 per wk 2 opt out send stop 08452810071 16
ham,tmrw im finishing 9 doors
ham,you should change your fb to jaykwon thuglyfe falconerf
ham,hey leave it not a big deal take care
ham,correct so how was work today
ham,yep get with the program youre slacking
ham,just sleepingand surfing
ham,hey you told your name to gautham ah
ham,piss is talking is someone that realise u that point this at is itnow read it backwards
ham, ltgt  in mca but not conform
ham,thanks for being there for me just to talk to on saturday you are very dear to me i cherish having you as a brother and role model
